Text,Label,ID,Offsets,,,
"BC Iron has progressed from a one employee exploration company in late 2006 to a producing iron ore mining company today with a team of enthusiastic, hard working and committed employees.",About,article_00003.pre.xmi:005,"[{u'text': 'BC Iron', u'endOffset': 7, u'beginOffset': 0, u'label': u'Company'}, {u'text': 'iron ore mining', u'endOffset': 106, u'beginOffset': 91, u'label': u'ProductService'}]",,,
Our people have made the Company what it is today.,None,article_00003.pre.xmi:006,[],,,
They have been vital in moving us from exploration to mining and continue to shape the future of BC Iron.,None,article_00003.pre.xmi:007,[],,,
We are proud of our history and continue to strive for excellence.,None,article_00003.pre.xmi:008,[],,,
#1 energy investor in the world,None,article_00004.pre.xmi:001,[],,,
Co-development agreements with:,None,article_00004.pre.xmi:002,[],,,
Missouri Joint Municipal Electric Utility Commission (MJMEUC),None,article_00004.pre.xmi:003,[],,,
Tri-County Electric Cooperative (TCEC),None,article_00004.pre.xmi:004,[],,,
Oklahoma Municipal Power Authority (OMPA),None,article_00004.pre.xmi:005,[],,,
Kansas Power Pool (KPP),None,article_00004.pre.xmi:006,[],,,
"About GridLiance GP, LLC",None,article_00004.pre.xmi:007,[],,,
"Incorporated in 2014, GridLiance GP, LLC is the nation's first independent transmission only company focused on working with municipal utilities, joint action agencies and electric cooperatives to solve transmission issues and manage transmission costs.",About,article_00004.pre.xmi:008,"[{u'text': 'GridLiance GP, LLC', u'endOffset': 40, u'beginOffset': 22, u'label': u'Company'}, {u'text': 'independent transmission only company', u'endOffset': 100, u'beginOffset': 63, u'label': u'ProductService'}, {u'text': 'municipal utilities, joint action agencies and electric cooperatives', u'endOffset': 193, u'beginOffset': 125, u'label': u'MarketProfile'}, {u'text': 'solve transmission issues and manage transmission costs', u'endOffset': 252, u'beginOffset': 197, u'label': u'Purpose'}]",,,
"Through its subsidiary transmission companies formed to operate in each regional transmission organization (RTO), GridLiance will jointly plan, develop, own and operate transmission assets with Public Power entities.",About,article_00004.pre.xmi:009,"[{u'text': 'GridLiance', u'endOffset': 124, u'beginOffset': 114, u'label': u'Company'}, {u'text': 'plan, develop, own and operate transmission assets', u'endOffset': 188, u'beginOffset': 138, u'label': u'ProductService'}, {u'text': 'Public Power entities', u'endOffset': 215, u'beginOffset': 194, u'label': u'MarketProfile'}]",,,
"GridLiance is headquartered in Chicago, with regional offices in Kansas City, MO; Austin, TX; and Washington, D.C.",None,article_00004.pre.xmi:010,[],,,
Mission,None,article_00004.pre.xmi:011,[],,,
"GridLiance's mission is to provide its Public Power partners with opportunities to invest in regulated transmission development projects, enabling the utilities to earn margins from regionally-funded projects to offset transmission rate increases, as well as receive other benefits, including lower energy costs and increased reliability for their consumers, while providing greater access to renewable energy sources.",About,article_00004.pre.xmi:012,"[{u'text': 'GridLiance', u'endOffset': 10, u'beginOffset': 0, u'label': u'Company'}, {u'text': 'Public Power partners with opportunities to invest in regulated transmission development projects', u'endOffset': 136, u'beginOffset': 39, u'label': u'MarketProfile'}, {u'text': 'enabling the utilities to earn margins from regionally-funded projects to offset transmission rate increases, as well as receive other benefits, including lower energy costs and increased reliability for their consumers, while providing greater access to renewable energy sources', u'endOffset': 417, u'beginOffset': 138, u'label': u'ValueProposition'}]",,,
GridLiance and Blackstone: Strong Partners for Public Power,None,article_00004.pre.xmi:013,[],,,
"GridLiance has oversight and financial support from Blackstone, a leading energy infrastructure investor.",About,article_00004.pre.xmi:014,"[{u'text': 'Blackstone', u'endOffset': 62, u'beginOffset': 52, u'label': u'Company'}, {u'text': 'energy infrastructure investor', u'endOffset': 104, u'beginOffset': 74, u'label': u'MarketSegment'}]",,,
"Blackstone has a long history of successfully investing in energy infrastructure projects that deliver significant public benefits, including projects that lower generation costs, improve reliability and are environmentally friendly.",About,article_00004.pre.xmi:015,"[{u'text': 'Blackstone', u'endOffset': 10, u'beginOffset': 0, u'label': u'Company'}, {u'text': 'energy infrastructure projects', u'endOffset': 89, u'beginOffset': 59, u'label': u'MarketProfile'}, {u'text': 'deliver significant public benefits, including projects that lower generation costs, improve reliability and are environmentally friendly', u'endOffset': 232, u'beginOffset': 95, u'label': u'ValueProposition'}]",,,
"Through Blackstone Energy Partners and Blackstone Capital Partners, GridLiance will have substantial committed capital available to invest in new transmission projects around the country to deliver energy security to America.",About,article_00004.pre.xmi:016,"[{u'text': 'GridLiance', u'endOffset': 78, u'beginOffset': 68, u'label': u'Company'}, {u'text': 'around the country', u'endOffset': 186, u'beginOffset': 168, u'label': u'MarketLocation'}, {u'text': 'deliver energy security', u'endOffset': 213, u'beginOffset': 190, u'label': u'Purpose'}, {u'text': 'America', u'endOffset': 224, u'beginOffset': 217, u'label': u'MarketLocation'}]",,,
Blackstone has invested over $8 billion of equity globally across a broad range of sectors within the energy industry.,None,article_00004.pre.xmi:017,[],,,
GridLiance Offices,None,article_00004.pre.xmi:018,[],,,
"132,100pensions scheme members insured",None,article_00005.pre.xmi:001,[],,,
£16.6bnassets under management (at year-end 2015),None,article_00005.pre.xmi:002,[],,,
High calibre Board The highest standards of customer care Household names counted among our clients Strong financial results,None,article_00005.pre.xmi:003,[],,,
Our awards and accreditations,None,article_00005.pre.xmi:004,[],,,
PIC is the proud holder of many industry awards.,None,article_00005.pre.xmi:005,[],,,
"In 2015, PIC won four industry awards for  the quality of our work with policyholders, trustees and corporate sponsors and our approach to risk management.",None,article_00005.pre.xmi:006,[],,,
"PIC has attained the Institute of Customer Service's ServiceMark Accreditation, for outstanding customer service.",None,article_00005.pre.xmi:007,[],,,
"PIC has also attained the Plain English Campaign's Platinum status by having all applicable policyholder communications Crystal Marked, running to over one hundred documents.",None,article_00005.pre.xmi:008,[],,,
Both of these accreditations are unique in our market.,None,article_00005.pre.xmi:009,[],,,
See who our clients are See our full list of awards,None,article_00005.pre.xmi:010,[],,,
Customer satisfaction,None,article_00005.pre.xmi:011,[],,,
"PIC is well known for excellent customer service, both for trustees and for policyholders.",About,article_00005.pre.xmi:012,"[{u'text': u'PIC', u'endOffset': 3, u'beginOffset': 0, u'label': u'Company'}, {u'text': u'excellent customer service', u'endOffset': 48, u'beginOffset': 22, u'label': u'ValueProposition'}, {u'text': u'trustees', u'endOffset': 67, u'beginOffset': 59, u'label': u'MarketProfile'}, {u'text': u'policyholders', u'endOffset': 89, u'beginOffset': 76, u'label': u'MarketProfile'}]",,,
My personal experience of working with them has entirely borne this out.,None,article_00005.pre.xmi:013,[],,,
Andrew Barnett Watson Petroleum Trustee,None,article_00005.pre.xmi:014,[],,,
This has been a complex transaction given the size and history of the Fund.,None,article_00005.pre.xmi:015,[],,,
I want to thank Philips for their support and PIC for their hard work and flexibility in securing these pension liabilities for the long-term.,None,article_00005.pre.xmi:016,[],,,
David Jordan Chairman of Trustees of the Philips Pension Fund,None,article_00005.pre.xmi:017,[],,,
See more customer testimonials,None,article_00005.pre.xmi:018,[],,,
Culture and values,None,article_00005.pre.xmi:019,[],,,
"PIC's values and culture, as central to our ethos when we were founded as they are today, help ensure that all our employees, from our interns to our Chairman, genuinely treat our customers as our first priority, whilst at the same time delivering strong performance for our shareholders.",None,article_00005.pre.xmi:020,[],,,
Customer care,None,article_00005.pre.xmi:021,[],,,
"Valuing our customers is at the heart of PIC's values, and central to everything we do.",None,article_00005.pre.xmi:022,[],,,
"Here at PIC, we pride ourselves on customer care and hold a record low level of complaints.",None,article_00005.pre.xmi:023,[],,,
ABOUT US,None,article_00006.pre.xmi:001,[],,,
"WEI-CHUAN SHIH, PH.D. is an Assistant Professor of Electrical & Computer Engineering, Biomedical Engineering, and Chemistry at University of Houston.",None,article_00006.pre.xmi:002,[],,,
He earned a Ph.D from the MIT under Prof. Michael S Feld.,None,article_00006.pre.xmi:003,[],,,
He worked on optical downhole fluid analysis and oil spill sensing at Schlumberger-Doll Research before his current position.,None,article_00006.pre.xmi:004,[],,,
He is a recipient of NSF CAREER Award and NASA Early Career Faculty Award.,None,article_00006.pre.xmi:005,[],,,
"His research interests are in biophotonics, nano-plasmonics, multi-modal neural stimulation & sensing, point-of-care technology, cancer theranostics, environmental sensing, hyperspectral microscopy & imaging, N/MEMS, and laser-based 3D manufacturing.",None,article_00006.pre.xmi:006,[],,,
"He has published more than 60 articles in books, journals and conference proceedings, and is the inventor of 6 issued patents.",None,article_00006.pre.xmi:007,[],,,
"As an independent PI, his research is also supported by NIH, DoI, and GoMRI with a cumulative sum of $3M.",None,article_00006.pre.xmi:008,[],,,
JENN JEANG graduated from the University of Texas at Austin with a bachelors degree in Biochemistry.,None,article_00006.pre.xmi:009,[],,,
He is the primary fabricator of the lenses.,None,article_00006.pre.xmi:010,[],,,
"In his spare time, he enjoys volunteering at the Texas Medical Center.",None,article_00006.pre.xmi:011,[],,,
CLOUD LEE graduated from the University of Houston with a masters degree in materials engineering.,None,article_00006.pre.xmi:012,[],,,
He is currently pioneering the work of distributing these lenses to schools in Taiwan in collaboration with the local Ministry of Education.,None,article_00006.pre.xmi:013,[],,,
YULU SUNG is a graduate student from the University of Houston electrical engineering department.,None,article_00006.pre.xmi:014,[],,,
He was awarded the 'Innovative biomedical application award' for 2013 and 2014 for his work on miniature diagnostic systems.,None,article_00006.pre.xmi:015,[],,,
We acknowledge the University of Houston,None,article_00006.pre.xmi:016,[],,,
Contact us: dotlens.microscope@gmail.com,None,article_00006.pre.xmi:017,[],,,
Menu,None,article_00007.pre.xmi:001,[],,,
"Encore Plastics Home About Us Customer Center Career Contact Us Paint Sundries Products Mix'n Measure Containers & Lids Paper & Metal Containers Utility Containers & Translucent Pails Pail Liners, Pro-Stain'r, Pro-Lin'r & Pro-Lin'r Jr Industrial Plastic Pails | Buckets 5 Gallon Camo Buckets & Lids Roller Trays & Wallpaper Trays Painting Accessories Packaging Containers EcoSmart Products Durango Caulk Guns Extrusion Custom Molding Chill Stop'R Air Conditioner Cover",None,article_00007.pre.xmi:002,[],,,
About Us,None,article_00007.pre.xmi:003,[],,,
"At Encore, we care about you!",None,article_00007.pre.xmi:004,[],,,
Our corporate philosophy is based upon establishing and retaining long-term customer's relationship.,About,article_00007.pre.xmi:005,"[{u'text': 'Our', u'endOffset': 3, u'beginOffset': 0, u'label': u'Company'}, {u'text': ""establishing and retaining long-term customer's relationship"", u'endOffset': 99, u'beginOffset': 39, u'label': u'Purpose'}]",,,
Our focus is on growth - ours and yours.,None,article_00007.pre.xmi:006,[],,,
Take a look at our products and pricing and then give us a try.,None,article_00007.pre.xmi:007,[],,,
"At Encore, you are more important after the sale than you were before the sale.",None,article_00007.pre.xmi:008,[],,,
This simple truth may seem obvious but our experience tells us that it is not always the case.,None,article_00007.pre.xmi:009,[],,,
"At Encore, we care about you because our future depends upon your success as well as our own.",None,article_00007.pre.xmi:010,[],,,
Call 800-336-2673,None,article_00007.pre.xmi:011,[],,,
History of Encore Plastics Corporation,None,article_00007.pre.xmi:012,[],,,
"Encore Plastics is a division of Encore Industries, Inc. Encore was",None,article_00007.pre.xmi:013,[],,,
"established in 1987 in Pittsburgh, Pennsylvania.",None,article_00007.pre.xmi:014,[],,,
The company was,None,article_00007.pre.xmi:015,[],,,
"relocated to Sandusky, Ohio in 1993 and the current management assumed control of the operation in 1997.",None,article_00007.pre.xmi:016,[],,,
"Over the years, Encore has extended its product range to include everything the painter and the",None,article_00007.pre.xmi:017,[],,,
"do-it-yourselfer could want, from paint trays and liners to buckets,",None,article_00007.pre.xmi:018,[],,,
"pails, caulking guns, kits and accessories.",None,article_00007.pre.xmi:019,[],,,
Its reach also includes,None,article_00007.pre.xmi:020,[],,,
"pails and containers for industrial packaging needs, indoor air conditioner covers, thermoformed clamshell retail packing and disposable razors.",None,article_00007.pre.xmi:021,[],,,
"Originally operated as a regional paint sundries distributor, Encore acquired Jonathan Bye Industries, Inc. in 1998 and began to manufacture all of its injection molded plastic products.",About,article_00007.pre.xmi:022,"[{u'text': 'paint sundries distributor', u'endOffset': 60, u'beginOffset': 34, u'label': u'ProductService'}, {u'text': 'Encore', u'endOffset': 68, u'beginOffset': 62, u'label': u'Company'}, {u'text': 'Jonathan Bye Industries, Inc.', u'endOffset': 107, u'beginOffset': 78, u'label': u'Company'}, {u'text': 'injection molded plastic products', u'endOffset': 185, u'beginOffset': 152, u'label': u'ProductService'}]",,,
In 1999 the company acquired the Stylette Paint Sundries division from Alco Standard.,None,article_00007.pre.xmi:023,[],,,
In 2000 the company acquired Midstate Plastics Corporation and began to manufacture all of its thermoformed plastic products.,About,article_00007.pre.xmi:024,"[{u'text': 'Midstate Plastics Corporation', u'endOffset': 58, u'beginOffset': 29, u'label': u'Company'}, {u'text': 'thermoformed plastic products', u'endOffset': 124, u'beginOffset': 95, u'label': u'ProductService'}]",,,
"In 2001 the company acquired East Texas Custom Plastics, Inc. and introduced a niche line of Turbo Mixer paint mixers.",None,article_00007.pre.xmi:025,[],,,
"In 2002 the company acquired the Cambridge, Ohio manufacturing and distribution facility of AMETEK, Inc. and began thermoforming plastic products in Ohio.",None,article_00007.pre.xmi:026,[],,,
"In 2003 the company introduced a broad line of Encore Marine and Pro-Paintr brand paint brushes, covers, frames and accessories assembled in North America and a full line of Durango brand caulking guns imported from Asia.",None,article_00007.pre.xmi:027,[],,,
"And in January, 2004, the company capitalized its Extrusion Specialties division and began extruding plastic roll-stock for a national customer base as well as for its Midstate Plastics thermoforming operation.",None,article_00007.pre.xmi:028,[],,,
"In 2006, Encore relocated its corporate offices into a 12,000 square foot facility in the Quarry Lakes business park in Sandusky, Ohio and in 2008 it established its western presence with a 60,000 square foot facility outside of Salt Lake City, Utah.",None,article_00007.pre.xmi:029,[],,,
"In 2010 the company opened a new facility in Forsyth, Georgia.",None,article_00007.pre.xmi:030,[],,,
"We now operate four production and assembly operations in Ohio, Georgia and Minnesota.",None,article_00007.pre.xmi:031,[],,,
Our primary injection molding operation is in,None,article_00007.pre.xmi:032,[],,,
"Cambridge, Ohio and Forsyth, Georgia.",None,article_00007.pre.xmi:033,[],,,
Our primary thermoforming,None,article_00007.pre.xmi:034,[],,,
"operation is in Remer, Minnesota.",None,article_00007.pre.xmi:035,[],,,
Our extrusion operation and our,None,article_00007.pre.xmi:036,[],,,
primary distribution operation for the remainder of the country are,None,article_00007.pre.xmi:037,[],,,
"located in a 192,000 square foot facility in Cambridge, Ohio.",None,article_00007.pre.xmi:038,[],,,
We also,None,article_00007.pre.xmi:039,[],,,
maintain a secondary thermoforming capability in the Cambridge facility and an injection molding capability and a secondary distribution operation in the Remer facility.,None,article_00007.pre.xmi:040,[],,,
These various operations allow us to serve customers ranging from,None,article_00007.pre.xmi:041,[],,,
"national manufacturers and retailers, paint chains and cooperatives to major regional and small local paint and hardware distributors, as well as marine and automotive distributors throughout the United States and Canada.",None,article_00007.pre.xmi:042,[],,,
"We stock the country's broadest line of quality plastic, metal and paper pails, trays and liners, caulking guns, roller covers, kits and accessories.",None,article_00007.pre.xmi:043,[],,,
"As a result it doesn't matter what your packaging or paint supply needs are, we've got you covered.",None,article_00007.pre.xmi:044,[],,,
Our full-service capability also allows us to provide a wide range of,None,article_00007.pre.xmi:045,[],,,
"quality add-on services, including design assistance, printing, decorating, and assembly.",About,article_00007.pre.xmi:046,"[{u'text': 'quality add-on services', u'endOffset': 23, u'beginOffset': 0, u'label': u'ValueProposition'}]",,,
"As we continue to expand our capabilities, our emphasis remains on providing high quality products and on-time delivery.",About,article_00007.pre.xmi:047,"[{u'text': 'we', u'endOffset': 5, u'beginOffset': 3, u'label': u'Company'}, {u'text': 'providing high quality products and on-time delivery', u'endOffset': 119, u'beginOffset': 67, u'label': u'ValueProposition'}]",,,
100% complete and on-time everytime.,None,article_00007.pre.xmi:048,[],,,
So Contact us for all your paint sundry needs.,None,article_00007.pre.xmi:049,[],,,
You'll be glad you did!,None,article_00007.pre.xmi:050,[],,,
Encore Paint,None,article_00007.pre.xmi:051,[],,,
Sundries... You ask and we deliver!,None,article_00007.pre.xmi:052,[],,,
"Sandusky, OH",None,article_00007.pre.xmi:053,[],,,
Contact,None,article_00008.pre.xmi:001,[],,,
About us,None,article_00008.pre.xmi:002,[],,,
"Whether you're an insurance broker, a personal lines policyholder or someone who might like to work for us, we're bursting to tell you all about UK General – because we've got such a great story to tell.",None,article_00008.pre.xmi:003,[],,,
"Our big idea: Instead of using words like 'mission' and 'vision', we love to talk about our Big Idea for personal lines insurance.",About,article_00008.pre.xmi:004,"[{u'text': u'Our', u'endOffset': 3, u'beginOffset': 0, u'label': u'Company'}, {u'text': u'our', u'endOffset': 91, u'beginOffset': 88, u'label': u'Company'}, {u'text': u'personal lines insurance', u'endOffset': 129, u'beginOffset': 105, u'label': u'ProductService'}]",,,
We're changing the world of personal lines insurance.,About,article_00008.pre.xmi:005,"[{u'text': u'We', u'endOffset': 2, u'beginOffset': 0, u'label': u'Company'}, {u'text': u'personal lines insurance', u'endOffset': 52, u'beginOffset': 28, u'label': u'ProductService'}]",,,
"We want to be first to market with new ideas, opening up rewarding markets for brokers and trading partners.",About,article_00008.pre.xmi:006,"[{u'text': u'We', u'endOffset': 2, u'beginOffset': 0, u'label': u'Company'}, {u'text': u'new ideas, opening up rewarding markets for brokers and trading partners', u'endOffset': 107, u'beginOffset': 35, u'label': u'Purpose'}]",,,
"We want to be recognised as clear, straightforward and friendly, and for providing unbeatable service.",About,article_00008.pre.xmi:007,"[{u'text': u'We', u'endOffset': 2, u'beginOffset': 0, u'label': u'Company'}, {u'text': u'recognised as clear, straightforward and friendly, and for providing unbeatable service', u'endOffset': 101, u'beginOffset': 14, u'label': u'Purpose'}]",,,
We want to be everyone's first choice for personal lines insurance.,About,article_00008.pre.xmi:008,"[{u'text': u'We', u'endOffset': 2, u'beginOffset': 0, u'label': u'Company'}, {u'text': u'personal lines insurance', u'endOffset': 66, u'beginOffset': 42, u'label': u'ProductService'}]",,,
What matters to us,None,article_00008.pre.xmi:009,[],,,
"We want to see an end to 'one size fits all' insurance, because it just doesn't.",None,article_00008.pre.xmi:010,[],,,
Every customer should be able to access personal lines policies which are as unique as they are.,None,article_00008.pre.xmi:011,[],,,
Customers at the heart,None,article_00008.pre.xmi:012,[],,,
"It's very simple: if we weren't providing the level of service our brokers want, they'd be voting with their feet and we wouldn't be growing so quickly.",None,article_00008.pre.xmi:013,[],,,
Real relationships,None,article_00008.pre.xmi:014,[],,,
We believe in getting closer to customers – understanding them and their goals.,None,article_00008.pre.xmi:015,[],,,
"We listen, we respond, we go the extra mile.",None,article_00008.pre.xmi:016,[],,,
"We're in this for the long haul, not quick wins.",None,article_00008.pre.xmi:017,[],,,
Setting the pace,None,article_00008.pre.xmi:018,[],,,
We want to be associated with what's exciting in insurance.,None,article_00008.pre.xmi:019,[],,,
"Not just innovative, bespoke and tailored products, but great new ideas for services and broker support too.",None,article_00008.pre.xmi:020,[],,,
Communicating openly,None,article_00008.pre.xmi:021,[],,,
"We work hard to be in very regular contact with our brokers and trading partners, and we keep it simple, clear and transparent.",None,article_00008.pre.xmi:022,[],,,
Anything less just wouldn't be respectful.,None,article_00008.pre.xmi:023,[],,,
OneEnergy Partners was formed to pursue middle market special situation acquisition and development opportunities in the North American upstream energy space by combining best-in-class investing and operating expertise.,About,article_00009.pre.xmi:001,"[{u'text': 'OneEnergy Partners', u'endOffset': 18, u'beginOffset': 0, u'label': u'Company'}, {u'text': 'pursue middle market special situation acquisition and development opportunities in the North American upstream energy space', u'endOffset': 157, u'beginOffset': 33, u'label': u'Purpose'}]",,,
MIT Media Lab - Ph.D. 2014,None,article_00010.pre.xmi:001,[],,,
Thomas A. Baran,None,article_00010.pre.xmi:002,[],,,
MIT Ph.D. in Electrical Engineering,None,article_00010.pre.xmi:003,[],,,
"MIT Sloan-based minor, 2012",None,article_00010.pre.xmi:004,[],,,
chat,None,article_00011.pre.xmi:001,[],,,
about bluehost,None,article_00011.pre.xmi:002,[],,,
Bluehost was founded in 2003 with one goal: to make a better hosting company.,About,article_00011.pre.xmi:003,"[{u'text': 'Bluehost', u'endOffset': 8, u'beginOffset': 0, u'label': u'Company'}, {u'text': 'better hosting company', u'endOffset': 76, u'beginOffset': 54, u'label': u'Purpose'}]",,,
"Built on open source technology, we've since grown to become one of the world's largest providers of cloud-based online solutions.",About,article_00011.pre.xmi:004,"[{u'text': 'we', u'endOffset': 35, u'beginOffset': 33, u'label': u'Company'}, {u'text': 'cloud-based online solutions', u'endOffset': 129, u'beginOffset': 101, u'label': u'ProductService'}]",,,
"Operating beneath the Wasatch Mountains in Utah, over 700 of us are pushing boundaries to deliver the promise of the internet to more people than ever.",About,article_00011.pre.xmi:005,"[{u'text': 'Wasatch Mountains in Utah', u'endOffset': 47, u'beginOffset': 22, u'label': u'MarketLocation'}, {u'text': 'us', u'endOffset': 63, u'beginOffset': 61, u'label': u'Company'}, {u'text': 'promise of the internet to more people than ever', u'endOffset': 150, u'beginOffset': 102, u'label': u'ValueProposition'}]",,,
connect with us,None,article_00011.pre.xmi:006,[],,,
Blog,None,article_00012.pre.xmi:001,[],,,
Download the App,None,article_00012.pre.xmi:002,[],,,
"So we make it remarkably easy to book great hotels at amazing last-minute rates on your mobile device, for tonight, tomorrow and next week.",About,article_00012.pre.xmi:003,"[{u'text': 'make it remarkably easy to book great hotels at amazing last-minute rates on your mobile device, for tonight, tomorrow and next week', u'endOffset': 138, u'beginOffset': 6, u'label': u'ValueProposition'}]",,,
"When hotels have unsold rooms, they load them on the app, which means you get incredible deals.",About,article_00012.pre.xmi:004,"[{u'text': 'hotels', u'endOffset': 11, u'beginOffset': 5, u'label': u'Company'}, {u'text': 'get incredible deals', u'endOffset': 94, u'beginOffset': 74, u'label': u'ValueProposition'}]",,,
"We screen every hotel featured, and only work with ones you'll love.",None,article_00012.pre.xmi:005,[],,,
